PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=82 ttl=64 time=6.95 ms
64 bytes from 10.0.2.22: icmp_seq=83 ttl=64 time=15.9 ms
64 bytes from 10.0.2.22: icmp_seq=84 ttl=64 time=37.7 ms
64 bytes from 10.0.2.22: icmp_seq=85 ttl=64 time=13.5 ms
64 bytes from 10.0.2.22: icmp_seq=86 ttl=64 time=6.26 ms
64 bytes from 10.0.2.22: icmp_seq=87 ttl=64 time=9.31 ms
64 bytes from 10.0.2.22: icmp_seq=88 ttl=64 time=9.80 ms
64 bytes from 10.0.2.22: icmp_seq=89 ttl=64 time=13.9 ms
64 bytes from 10.0.2.22: icmp_seq=90 ttl=64 time=30.2 ms
64 bytes from 10.0.2.22: icmp_seq=91 ttl=64 time=6.77 ms
64 bytes from 10.0.2.22: icmp_seq=92 ttl=64 time=7.20 ms
64 bytes from 10.0.2.22: icmp_seq=93 ttl=64 time=17.5 ms
64 bytes from 10.0.2.22: icmp_seq=94 ttl=64 time=7.46 ms
64 bytes from 10.0.2.22: icmp_seq=95 ttl=64 time=9.27 ms
64 bytes from 10.0.2.22: icmp_seq=96 ttl=64 time=6.65 ms
64 bytes from 10.0.2.22: icmp_seq=97 ttl=64 time=6.13 ms
64 bytes from 10.0.2.22: icmp_seq=98 ttl=64 time=11.0 ms
64 bytes from 10.0.2.22: icmp_seq=99 ttl=64 time=6.68 ms
64 bytes from 10.0.2.22: icmp_seq=100 ttl=64 time=17.9 ms
64 bytes from 10.0.2.22: icmp_seq=101 ttl=64 time=6.35 ms
64 bytes from 10.0.2.22: icmp_seq=102 ttl=64 time=6.57 ms
64 bytes from 10.0.2.22: icmp_seq=103 ttl=64 time=7.54 ms
64 bytes from 10.0.2.22: icmp_seq=104 ttl=64 time=7.09 ms
64 bytes from 10.0.2.22: icmp_seq=105 ttl=64 time=22.6 ms
64 bytes from 10.0.2.22: icmp_seq=106 ttl=64 time=6.39 ms
64 bytes from 10.0.2.22: icmp_seq=107 ttl=64 time=61.0 ms
64 bytes from 10.0.2.22: icmp_seq=108 ttl=64 time=6.33 ms
64 bytes from 10.0.2.22: icmp_seq=109 ttl=64 time=17.4 ms
64 bytes from 10.0.2.22: icmp_seq=110 ttl=64 time=44.6 ms
64 bytes from 10.0.2.22: icmp_seq=111 ttl=64 time=31.8 ms
64 bytes from 10.0.2.22: icmp_seq=112 ttl=64 time=111 ms
64 bytes from 10.0.2.22: icmp_seq=113 ttl=64 time=9.31 ms
64 bytes from 10.0.2.22: icmp_seq=114 ttl=64 time=61.2 ms
64 bytes from 10.0.2.22: icmp_seq=115 ttl=64 time=180 ms
64 bytes from 10.0.2.22: icmp_seq=116 ttl=64 time=12.8 ms
64 bytes from 10.0.2.22: icmp_seq=117 ttl=64 time=6.31 ms
64 bytes from 10.0.2.22: icmp_seq=118 ttl=64 time=6.49 ms
64 bytes from 10.0.2.22: icmp_seq=119 ttl=64 time=10.3 ms
64 bytes from 10.0.2.22: icmp_seq=120 ttl=64 time=19.2 ms
64 bytes from 10.0.2.22: icmp_seq=121 ttl=64 time=44.0 ms
64 bytes from 10.0.2.22: icmp_seq=122 ttl=64 time=7.40 ms
64 bytes from 10.0.2.22: icmp_seq=123 ttl=64 time=9.77 ms
64 bytes from 10.0.2.22: icmp_seq=124 ttl=64 time=7.06 ms
64 bytes from 10.0.2.22: icmp_seq=125 ttl=64 time=19.8 ms
64 bytes from 10.0.2.22: icmp_seq=126 ttl=64 time=43.7 ms
64 bytes from 10.0.2.22: icmp_seq=127 ttl=64 time=50.6 ms
64 bytes from 10.0.2.22: icmp_seq=128 ttl=64 time=13.5 ms
64 bytes from 10.0.2.22: icmp_seq=129 ttl=64 time=14.8 ms
64 bytes from 10.0.2.22: icmp_seq=130 ttl=64 time=6.16 ms
64 bytes from 10.0.2.22: icmp_seq=131 ttl=64 time=27.2 ms
64 bytes from 10.0.2.22: icmp_seq=132 ttl=64 time=104 ms
64 bytes from 10.0.2.22: icmp_seq=133 ttl=64 time=11.3 ms
64 bytes from 10.0.2.22: icmp_seq=134 ttl=64 time=6.56 ms
64 bytes from 10.0.2.22: icmp_seq=135 ttl=64 time=7.09 ms
64 bytes from 10.0.2.22: icmp_seq=136 ttl=64 time=33.5 ms
64 bytes from 10.0.2.22: icmp_seq=137 ttl=64 time=6.18 ms
64 bytes from 10.0.2.22: icmp_seq=138 ttl=64 time=6.33 ms
64 bytes from 10.0.2.22: icmp_seq=139 ttl=64 time=21.7 ms
64 bytes from 10.0.2.22: icmp_seq=140 ttl=64 time=47.0 ms
64 bytes from 10.0.2.22: icmp_seq=141 ttl=64 time=26.0 ms
64 bytes from 10.0.2.22: icmp_seq=142 ttl=64 time=6.25 ms
64 bytes from 10.0.2.22: icmp_seq=143 ttl=64 time=6.29 ms
64 bytes from 10.0.2.22: icmp_seq=144 ttl=64 time=23.1 ms
64 bytes from 10.0.2.22: icmp_seq=145 ttl=64 time=50.5 ms
64 bytes from 10.0.2.22: icmp_seq=146 ttl=64 time=26.2 ms
64 bytes from 10.0.2.22: icmp_seq=147 ttl=64 time=7.03 ms
64 bytes from 10.0.2.22: icmp_seq=148 ttl=64 time=13.7 ms
64 bytes from 10.0.2.22: icmp_seq=149 ttl=64 time=12.3 ms
64 bytes from 10.0.2.22: icmp_seq=150 ttl=64 time=25.6 ms
64 bytes from 10.0.2.22: icmp_seq=151 ttl=64 time=6.58 ms
64 bytes from 10.0.2.22: icmp_seq=152 ttl=64 time=6.34 ms
64 bytes from 10.0.2.22: icmp_seq=153 ttl=64 time=14.6 ms
64 bytes from 10.0.2.22: icmp_seq=154 ttl=64 time=9.00 ms
64 bytes from 10.0.2.22: icmp_seq=155 ttl=64 time=7.25 ms
64 bytes from 10.0.2.22: icmp_seq=156 ttl=64 time=6.29 ms
64 bytes from 10.0.2.22: icmp_seq=157 ttl=64 time=8.39 ms
64 bytes from 10.0.2.22: icmp_seq=158 ttl=64 time=14.7 ms
64 bytes from 10.0.2.22: icmp_seq=159 ttl=64 time=12.0 ms
64 bytes from 10.0.2.22: icmp_seq=160 ttl=64 time=7.56 ms
64 bytes from 10.0.2.22: icmp_seq=161 ttl=64 time=34.4 ms
64 bytes from 10.0.2.22: icmp_seq=162 ttl=64 time=24.9 ms
64 bytes from 10.0.2.22: icmp_seq=163 ttl=64 time=25.0 ms
64 bytes from 10.0.2.22: icmp_seq=164 ttl=64 time=11.1 ms
64 bytes from 10.0.2.22: icmp_seq=165 ttl=64 time=6.59 ms
64 bytes from 10.0.2.22: icmp_seq=166 ttl=64 time=18.3 ms
64 bytes from 10.0.2.22: icmp_seq=167 ttl=64 time=9.39 ms
64 bytes from 10.0.2.22: icmp_seq=168 ttl=64 time=6.80 ms
64 bytes from 10.0.2.22: icmp_seq=169 ttl=64 time=6.28 ms
64 bytes from 10.0.2.22: icmp_seq=170 ttl=64 time=35.6 ms
64 bytes from 10.0.2.22: icmp_seq=171 ttl=64 time=48.7 ms
64 bytes from 10.0.2.22: icmp_seq=172 ttl=64 time=14.7 ms
64 bytes from 10.0.2.22: icmp_seq=173 ttl=64 time=7.15 ms
64 bytes from 10.0.2.22: icmp_seq=174 ttl=64 time=6.56 ms
64 bytes from 10.0.2.22: icmp_seq=175 ttl=64 time=6.27 ms
64 bytes from 10.0.2.22: icmp_seq=176 ttl=64 time=6.81 ms

--- 10.0.2.22 ping statistics ---
176 packets transmitted, 176 received, 0% packet loss, time 175977ms
rtt min/avg/max/mdev = 6.004/19.597/180.505/23.503 ms
